Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
2.3Mjt130,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2287.0,1800.0,320.0,16.0,19.0,Euro 5,Transversale Avant,131.0,96.0,88.0,94.0,115b72dd-052f-4a55-bd07-b7083ce08798
3.0HP170,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,2998.0,3000.0,400.0,16.0,17.5,Euro 5,Transversale Avant,170.0,125.0,95.8,104.0,fdf49405-f747-4d44-9e06-f7e04473dbfa
2.0DI140,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1968.0,4000.0,320.0,16.0,18.5,Euro 5,Transversale Avant,140.0,103.0,81.0,95.5,1401d40e-e1bf-4271-85a7-a9f22e3b385a
1.9dCi117,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1870.0,2000.0,270.0,8.0,18.3,Euro 6,Transversale Avant,117.0,85.0,80.0,93.0,1fd9d158-a61e-449c-9dd1-93714c036fd2
1.5ESI150,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1498.0,5000.0,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,c889beae-1d02-44f0-9605-18469e71cd03
V63.5,Essence,Six cylindres en V,Bi-Turbos,Injection directe essence,3444.0,3497.79,600.0,24.0,13.88,Euro 6,Longitudinale Avant,417.0,307.0,81.78,87.35,c57e7ba1-7f5d-45e7-8058-54ce87237692
1.6,Diesel,Quatre cylindres en ligne,Turbo,Injection directe à rampe commune,1598.0,3250.0,250.0,16.0,13.88,Euro 6,Transversale Avant,115.0,85.0,79.5,80.5,e5dff730-e7d9-4079-820c-1aaaa740255e
1.5dCi110,Diesel,Quatre cylindres en ligne,Turbocompresseur,Injection directe à rampe commune,1461.0,1750.0,240.0,8.0,15.2,Euro 5,Transversale Avant,110.0,81.0,76.0,80.5,156933b6-ba16-47b2-93e3-a82471629fe1
2.2DCi,Diesel,Quatre cylindres en ligne,Bi-Turbos à haute pression,Injection directe à rampe commune,2179.0,1750.0,400.0,16.0,13.88,Euro 4,Transversale Avant,175.0,129.0,85.0,96.0,2ff46b5c-c763-4be8-8844-5ee336efc404
1.9dCi120,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1870.0,2000.0,270.0,8.0,18.3,Euro 3,Transversale Avant,120.0,88.0,80.0,93.0,e416bfac-0b89-4480-b85d-48e0ce816c9c
1.6DI105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1598.0,4400.0,250.0,16.0,16.5,Euro 5,Transversale Avant,105.0,77.0,79.5,80.5,b83d2206-15bc-4b22-bc4d-dbf5fd667e4b
1.8FSI180,Essence,Quatre cylindres en ligne,Turbocompresseur,Injection directe essence,1798.0,5100.0,250.0,16.0,9.6,Euro 6,Longitudinale Avant,180.0,132.0,82.5,84.1,d7e68da6-586a-4b87-82a2-c5e0d92318e1
2.0i143ch,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,1995.0,3750.0,200.0,16.0,10.2,Euro 6,Longitudinale Avant,143.0,105.0,84.0,90.0,3e166dd7-ce28-42c6-ad0d-eaed2435c655
1.3JD90,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1248.0,1500.0,200.0,16.0,16.8,Euro 4,Transversale Avant,90.0,60.0,69.6,82.0,67f46d4c-b53a-4495-8b87-8667ad8cdeaf
65AMG,Essence,Huit cylindres en V,Bi-Turbos,Injection directe,3982.0,6250.0,700.0,32.0,10.5,Euro 6,Longitudinale Avant,585.0,430.0,81.78,87.35,d8698a86-ed3c-41c3-8432-3b8e97e60293
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,35223a75-66d6-45bd-81e0-a3d5be07af1d
2.0D75,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1973.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,75.0,55.0,81.78,87.35,4bd92e21-eb43-4b2e-bcff-5dc8c8ecfafc
2.0DCi170,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection électronique,1996.0,3500.0,405.0,16.0,16.5,Euro 6,Transversale Avant,170.0,125.0,84.0,90.0,deeac0d6-1aea-4f21-82a0-c72451151e71
350d,Diesel,Six cylindres en V,Bi-Turbos,Injection directe à rampe commune,2987.0,3497.79,550.0,24.0,13.88,Euro 6,Longitudinale Avant,258.0,190.0,81.78,87.35,dec164ea-daba-4df3-bc06-33013e3f2d78
200CDI,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,2800.0,360.0,16.0,17.5,Euro 5,Longitudinale Avant,136.0,100.0,88.0,88.3,42716a61-ae56-493d-a081-a548ee88900f
220CDI,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2143.0,3000.0,400.0,16.0,17.5,Euro 5,Longitudinale Avant,170.0,125.0,88.0,88.3,771cf73b-4ff9-4c00-aa7f-f9119fa29376
2.0EcoBlue130,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1997.0,3497.79,360.0,16.0,13.88,Euro 6,Transversale Avant,131.0,96.0,81.78,87.35,6a24e4a2-46c8-4483-8cfa-a5e3b1e9ca2b
1.5dCi105,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1461.0,2000.0,240.0,8.0,15.6,Euro 4,Transversale Avant,105.0,78.0,76.0,80.5,6b4f34fb-f3b3-4d57-ac3a-b1046d4ad37f
2.0CRD,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe par injecteurs pompes,1968.0,4000.0,310.0,16.0,18.0,Euro 4,Transversale Avant,140.0,103.0,81.0,95.5,03a23a67-b9e7-4151-abdd-27e35116eca0
200.0,Essence,Quatre cylindres en ligne,Atmosphérique,Injection multipoints,2034.0,3500.0,185.0,16.0,11.0,Euro 4,Transversale Avant,136.0,100.0,83.0,94.0,5cb61915-59d3-42d1-918a-d25bd7acd705
