Predicted,RealPrice
23714655.159838,23995700
13234327.215391,13435322
10270595.325863,8939967
33040155.485077,31713850
15912155.781438,16057223
15000148.453023,15983780
9994087.143261,9734483
22693979.908460,24135909
28171401.597162,25137399
18706868.509893,20704137
33917021.765118,35552895
18452550.373088,18494182
15842467.835825,16157372
30883257.942180,34459268
31180269.006175,26906698
20106235.028664,19228608
9511977.055726,8038626
10813062.392231,9747836
31950272.725159,32488336
3739307.168488,3671462
16063287.660492,18427416
25169829.465442,30111466
9977125.377627,9781219
4403666.380110,4477328
28330959.642676,32739376
20809970.726679,18093586
24245541.839383,23098365
11898078.523205,12151412
46998620.444933,48251788
25683226.438942,27374060
8380930.460685,9280474
1641017.035942,1802014
25186866.870037,25871825
15674798.412721,16691500
